Red,X,Y,Z,x,y
78,1.9269,0.8764,0.0047,0.6862,0.3121
77,1.7259,0.7851,0.0044,0.6861,0.3121
76,1.5713,0.7143,0.0046,0.6861,0.3119
75,1.3996,0.6362,0.0049,0.6858,0.3118
74,1.2453,0.5667,0.0036,0.6859,0.3121
73,1.1066,0.5038,0.005,0.685,0.3119
72,0.9883,0.4499,0.0026,0.6859,0.3122
71,0.8824,0.4012,0.0013,0.6867,0.3122
70,0.7684,0.3497,0.0026,0.6857,0.312
69,0.6875,0.3126,0.0019,0.6861,0.312
68,0.6133,0.2793,0.0018,0.6858,0.3123
67,0.5024,0.2288,0.002,0.6852,0.3121
66,0.4235,0.1928,0.0015,0.6855,0.3121
65,0.3474,0.158,0.0013,0.6856,0.3118
64,0.2902,0.132,0.0013,0.6853,0.3118
63,0.2342,0.1065,0.0008,0.6857,0.3119
62,0.1942,0.0884,0.001,0.6848,0.3116
61,0.1486,0.0675,0.0006,0.6856,0.3115
60,0.1089,0.0495,0.0004,0.6855,0.3117
59,0.0712,0.0324,0.0002,0.6864,0.3119
58,0.0509,0.0232,0.0003,0.6846,0.3116
57,0.0355,0.0162,0.0002,0.6841,0.3116
56,0.0261,0.0119,0.0002,0.6844,0.3112
55,0.0203,0.0092,0.0002,0.6842,0.3102
54,0.016,0.0073,0.0001,0.6836,0.311
53,0.0129,0.0059,0.0002,0.68,0.3118
52,0.0057,0.0026,0.0001,0.6762,0.3107
51,0.0009,0.0004,0.0001,0.6285,0.2865
50,0.0001,0.0001,0.0002,0.357,0.2283
49,0.0001,0,0.0001,0.3394,0.0814
48,0.0001,0,0.0001,0.3657,0.1343
47,0,0,0.0001,0.0613,0.092
46,0.0001,0,0.0001,0.3665,0.1633
45,0.0001,0,0.0001,0.2926,-0.0266
44,0.0001,0,0.0001,0.2971,0.0857
43,0,0,0.0001,-0.1444,0.3889
42,0,0.0001,0.0002,0.0847,0.2379
41,0.0001,0,0.0001,0.32,0.1771
40,0.0001,0,0.0002,0.1767,0.0883
39,0,0,0.0002,0.1595,0.1595
38,0,0,0.0001,0.2593,0.0741
37,0.0001,0.0001,0.0001,0.2,0.208
36,0.0001,0,0.0002,0.2222,0.0171
35,0,0,0.0001,0.1797,0.1328
34,0.0001,0,0.0001,0.3526,-0.0347
33,0.0001,0.0001,0.0001,0.2,0.208
32,0,0,0.0002,0.1781,0.1822
31,0,0.0001,0,0.3068,0.5909
30,0,0,0.0001,0.1467,0.2663
29,0,0,0.0001,0.2333,0.1111
28,0,0,0.0002,0.1004,0.1967
27,0.0001,0,0.0001,0.3579,0.0737
26,0.0001,0.0001,0.0001,0.2568,0.3018
25,0.0001,0,0.0001,0.3274,-0.0298
24,0.0001,0,0.0001,0.3973,-0.0685
23,0,0,0.0002,-0.0227,-0.0455
22,0,0,0.0002,0.1595,0.1595
21,0.0001,0,0,1.3421,-0.2895
20,0,0.0001,0.0001,0.25,0.325
19,0,0.0001,0.0001,0.2179,0.4103
18,0.0001,0,0.0001,0.3041,0.0643
17,0.0001,0,0.0002,0.2489,0.0362
16,0,0,0.0002,0.0161,0.1486
15,0,0.0001,0.0001,0.1296,0.3241
14,0.0001,0,0.0001,0.295,0.215
13,0,0,0.0001,0.1327,0.1122
12,0,0,0.0002,0.2308,-0.041
11,0,0,0.0001,0.1398,0.1183
10,0,0,0.0001,0.1263,0.0526
9,0,0,0.0001,0.162,0.2887
8,0.0001,0.0001,0.0001,0.2622,0.221
7,0,0,0.0001,0.2333,0
6,0,0,0,0.8261,-0.2174
5,0,0,0.0001,0.2308,0.0769
4,0.0001,0,0.0002,0.1926,0.1385
3,0,0,0,0.433,0.0722
2,0,0,0.0001,0.2422,0.1491
1,0.0001,0,0.0001,0.2696,0.0539
0,0,0,0.0002,0.1564,0.0509
Green,X,Y,Z,x,y
255,135.2498,517.0472,46.286,0.1936,0.7401
254,133.4688,509.5875,45.4518,0.1939,0.7401
253,132.3209,504.8073,44.9101,0.194,0.7401
252,131.4534,501.0921,44.499,0.1942,0.7401
251,130.6762,497.6126,44.1131,0.1943,0.7401
250,129.6147,493.2134,43.6272,0.1945,0.7401
249,128.6909,489.3391,43.1976,0.1946,0.74
248,127.8854,485.8231,42.7931,0.1948,0.74
247,126.5563,480.2382,42.1886,0.195,0.74
246,125.08,474.0057,41.5214,0.1953,0.7399
245,123.7262,468.2951,40.8739,0.1955,0.7399
