Red,X,Y,Z,x,y
123,10.3786,3.0587,61.2949,0.1389,0.0409
122,9.7422,2.8732,57.5468,0.1389,0.041
121,9.128,2.6937,53.9162,0.1389,0.041
120,8.5302,2.5178,50.3933,0.1388,0.041
119,7.9657,2.3528,47.0598,0.1388,0.041
118,7.4331,2.1962,43.9091,0.1388,0.041
117,6.9216,2.047,40.8903,0.1388,0.0411
116,6.4279,1.902,37.9784,0.1388,0.0411
115,6.0528,1.7911,35.7506,0.1388,0.0411
114,5.7237,1.6961,33.814,0.1388,0.0411
113,5.5288,1.6382,32.6651,0.1388,0.0411
112,5.3125,1.5755,31.3752,0.1388,0.0412
111,5.1126,1.5149,30.2011,0.1388,0.0411
110,4.8811,1.4484,28.8385,0.1388,0.0412
109,4.6622,1.3837,27.5524,0.1388,0.0412
108,4.4652,1.3241,26.3848,0.1388,0.0412
107,4.2883,1.2728,25.3339,0.1388,0.0412
106,4.0985,1.216,24.2167,0.1388,0.0412
105,3.9087,1.1602,23.0921,0.1388,0.0412
104,3.7277,1.1065,22.016,0.1388,0.0412
103,3.5686,1.0614,21.0874,0.1388,0.0413
102,3.3882,1.008,20.0253,0.1387,0.0413
101,3.2389,0.9639,19.1349,0.1388,0.0413
100,3.0945,0.9198,18.28,0.1388,0.0413
99,2.9565,0.8789,17.4717,0.1388,0.0412
98,2.7958,0.832,16.516,0.1388,0.0413
97,2.6713,0.7952,15.7908,0.1387,0.0413
96,2.5371,0.7552,14.9975,0.1387,0.0413
95,2.4165,0.7191,14.277,0.1388,0.0413
94,2.2943,0.6829,13.5556,0.1388,0.0413
93,2.1768,0.6485,12.8602,0.1388,0.0413
92,2.0593,0.6133,12.164,0.1388,0.0413
91,1.9623,0.5842,11.595,0.1388,0.0413
90,1.8595,0.5539,10.9766,0.1389,0.0414
89,1.7637,0.5262,10.4145,0.1388,0.0414
88,1.6671,0.4969,9.848,0.1388,0.0414
87,1.5766,0.4706,9.313,0.1388,0.0414
86,1.4889,0.444,8.7874,0.1389,0.0414
85,1.414,0.4226,8.3459,0.1389,0.0415
84,1.3465,0.4018,7.95,0.1388,0.0414
83,1.2746,0.3808,7.529,0.1388,0.0415
82,1.1453,0.342,6.7631,0.1388,0.0415
81,1.0551,0.3152,6.2314,0.1388,0.0415
80,0.9724,0.2906,5.7364,0.1389,0.0415
79,0.8918,0.2668,5.2664,0.1388,0.0415
78,0.8139,0.2441,4.8083,0.1387,0.0416
77,0.7371,0.2201,4.3546,0.1388,0.0414
76,0.676,0.202,3.9894,0.1389,0.0415
75,0.6176,0.1849,3.6443,0.1389,0.0416
74,0.557,0.1671,3.2892,0.1388,0.0416
73,0.5084,0.1525,3.0013,0.1388,0.0416
72,0.4583,0.1368,2.7035,0.1389,0.0415
71,0.4175,0.1245,2.4643,0.1389,0.0414
70,0.3759,0.1121,2.2171,0.139,0.0414
69,0.3409,0.1018,2.0126,0.1388,0.0415
68,0.3109,0.0927,1.8324,0.139,0.0415
67,0.2807,0.084,1.6575,0.1388,0.0415
66,0.2298,0.0684,1.3561,0.1389,0.0414
65,0.1907,0.0568,1.1249,0.1389,0.0414
64,0.1554,0.0465,0.9166,0.1389,0.0416
63,0.1308,0.0391,0.7711,0.139,0.0415
62,0.0863,0.0258,0.5093,0.1389,0.0415
61,0.0858,0.0257,0.5051,0.1392,0.0416
60,0.0543,0.0162,0.3192,0.1394,0.0415
59,0.0502,0.015,0.2951,0.1392,0.0415
58,0.0306,0.0091,0.1797,0.1394,0.0416
57,0.0239,0.0071,0.1405,0.1394,0.0417
56,0.0193,0.0058,0.1135,0.1394,0.0417
55,0.0146,0.0044,0.0859,0.1394,0.042
54,0.0117,0.0036,0.0681,0.1399,0.043
53,0.0089,0.0027,0.052,0.1397,0.0427
52,0.0064,0.002,0.037,0.1409,0.0431
51,0.0037,0.0011,0.0213,0.1415,0.0438
50,0.0017,0.0005,0.0099,0.1405,0.0436
49,0.0009,0.0003,0.0047,0.1476,0.0449
48,0.0004,0.0002,0.002,0.1389,0.0643
47,0.0002,0.0001,0.001,0.1476,0.0555
46,0.0001,0.0001,0.0005,0.1644,0.0889
45,0.0001,0,0.0004,0.132,0.1039
44,0.0001,0,0.0002,0.2344,0.1
43,0.0001,0,0.0002,0.2822,0.0539
42,0.0001,0.0001,0.0002,0.2112,0.1604
41,0.0001,0.0001,0.0001,0.2734,0.2491
40,0,0,0.0002,0.1466,0.0902
39,0,0.0001,0.0002,0.1381,0.2523
38,0.0001,0.0001,0.0003,0.204,0.1592
37,0,0,0,0.4375,0.1354
36,0,0.0001,0.0001,0.1991,0.2944
35,0.0001,0,0.0002,0.2023,0.1069
34,0,0,0.0002,0.1579,0.1943
33,0.0001,0,0.0002,0.1781,0.0875
32,0,0,0.0002,0.1225,0.0356
31,0.0001,0,0.0002,0.2782,0.0845
30,0.0001,0.0001,0.0002,0.2014,0.1979
29,0.0001,0,0.0002,0.1928,0.1325
28,0,0,0.0002,0.1723,0.1498
27,0,0.0001,0.0002,0.1533,0.28
26,0.0001,0,0.0001,0.2646,0.2328
25,0.0001,0,0.0002,0.25,0.125
24,0.0001,0,0.0001,0.2944,0.1558
23,0,0,0.0001,0.2333,0.1778
22,0.0001,0.0001,0.0002,0.2152,0.1697
21,0,0,0.0003,0.0984,0.054
20,0,0.0001,0.0002,0.1211,0.2484
19,0,0,0.0001,0.2234,0.2128
18,0.0001,0,0.0002,0.2727,0.1455
17,0.0001,0,0.0002,0.1992,0.0789
16,0.0001,0,0.0001,0.242,0.0776
15,0,0,0.0002,0.1723,0.1498
14,0,0,0.0002,0.1647,0.1255
13,0.0001,0.0001,0.0002,0.2222,0.2222
12,0,0,0.0002,0.1179,0.1521
11,0.0001,0,0.0001,0.2255,0.1872
10,0.0001,0,0.0001,0.3985,0.1278
9,0,0,0.0001,0.1883,0.1435
8,0.0001,0,0.0002,0.2143,-0.0564
7,0.0001,0,0.0001,0.2983,0.1681
6,0,0,0,0.3636,0.0152
5,0,0,0.0002,0.1418,0.16
4,0.0001,0.0001,0.0003,0.162,0.162
3,0,0,0.0002,0.1154,0.1154
2,0.0001,0.0001,0.0002,0.1886,0.242
1,0.0001,0.0001,0.0001,0.2822,0.2324
0,0,0,0.0002,0.1605,0.1811
